incident_no,job_template_id
INC0000045,45
INC0000046,47
INC0000047,49
INC0000057,45
INC0000060,42
INC0000062,49
INC0000063,49
INC0000064,41
INC0000065,46
INC0000066,44
INC0000067,48
INC0000070,43
INC0000071,42
INC0000073,48
INC0000074,42
INC0000076,41
INC0000077,49
INC0000079,49
INC0000080,43
INC0000083,47
INC0000084,41
INC0000085,45
INC0000086,42
INC0000087,48
INC0000088,41
INC0000089,50
INC0000092,49
INC0000093,48
INC0000094,42
INC0000098,42
INC0000099,41
INC0000100,42
INC0000101,41
INC0000102,41
INC0000103,46
INC0000104,46
INC0000105,42
INC0000110,41
INC0000111,42
INC0000112,42
INC0000113,50
INC0000114,42
INC0000115,48
INC0000116,46
INC0000119,45
INC0000121,47
INC0000122,45
INC0000123,46
INC0000124,50
INC0000125,49
INC0000126,44
INC0000128,50
INC0000129,44
INC0000130,44
INC0000131,50
INC0000132,49
INC0000134,50
INC0000135,47
INC0000135,44
INC0000137,46
INC0000139,45
INC0000140,42
INC0000141,45
INC0000146,42
INC0000147,45
INC0000148,41
INC0000149,50
INC0000152,47
INC0000153,49
INC0000155,45
INC0000156,50
INC0000158,42
INC0000159,42
INC0000159,43
INC0000160,49
INC0000161,42
INC0000164,45
INC0000166,46
INC0000167,44
INC0000168,44
INC0000169,42
INC0000171,41
INC0000172,50
INC0000173,49
INC0000174,46
INC0000176,42
INC0000178,48
INC0000179,45
INC0000192,42
INC0000193,49
INC0000194,47
INC0000195,45
INC0000197,50
INC0000199,46
INC0000204,44
INC0000204,46
INC0000207,43
INC0000211,41
INC0000213,42
INC0000217,48
INC0000218,42
INC0000218,49
INC0000220,42
INC0000221,50
INC0000223,48
INC0000228,44
INC0000230,42
INC0000232,41
INC0000236,50
INC0000237,44
INC0000246,41
INC0000250,41
INC0000250,44
INC0000253,48
INC0000257,46
INC0000259,46
INC0000260,45
INC0000261,45
INC0000262,42
INC0000265,42
INC0000266,43
INC0000268,49
INC0000269,42
INC0000272,46
INC0000273,47
INC0000278,47
INC0000279,47
INC0000280,44
INC0000282,43
INC0000283,43
INC0000284,48
INC0000285,49
INC0000286,45
INC0000290,42
INC0000292,43
INC0000294,41
INC0000294,50
INC0000294,49
INC0000295,46
INC0000297,47
INC0000298,45
INC0000301,45
INC0000302,50
INC0000303,44
INC0000304,49
INC0000305,47
INC0000306,42
INC0000307,49
INC0000310,45
INC0000315,41
INC0000317,44
INC0000318,48
INC0000319,50
INC0000323,46
INC0000324,42
INC0000325,48
INC0000329,48
INC0000330,45
INC0000332,45
INC0000333,43
INC0000336,46
INC0000337,49
INC0000338,48
INC0000339,41
INC0000341,42
INC0000343,45
INC0000345,49
INC0000346,48
INC0000347,49
INC0000348,48
INC0000351,49
INC0000352,44
INC0000353,41
INC0000355,47
INC0000356,43
INC0000357,45
INC0000358,43
INC0000359,43
INC0000361,46
INC0000363,46
INC0000369,47
INC0000370,50
INC0000370,42
INC0000371,47
INC0000372,41
INC0000373,41
INC0000374,42
INC0000375,48
INC0000376,50
INC0000377,43
INC0000378,49
INC0000379,43
INC0000384,45
INC0000385,48
INC0000387,50
INC0000388,49
INC0000392,46
INC0000393,49
INC0000395,47
INC0000396,43
INC0000398,48
INC0000399,45
INC0000400,45
INC0000401,46
INC0000403,47
INC0000403,43
INC0000403,43
INC0000405,42
INC0000418,49
INC0000419,47
INC0000425,49
INC0000433,47
INC0000434,42
INC0000439,50
INC0000440,44
INC0000441,47
INC0000441,43
INC0000441,48
INC0000441,43
INC0000441,50
INC0000455,41
INC0000458,49
INC0000464,42
INC0000467,42
INC0000468,43
INC0000469,45
INC0000473,47
INC0000477,46
INC0000480,48
INC0000486,44
INC0000491,48
INC0000493,44
INC0000494,43
INC0000497,43
INC0000499,45
INC0000500,49
INC0000503,46
INC0000504,46
INC0000505,42
INC0000508,50
INC0000509,41
INC0000510,47
INC0000511,50
INC0000512,45
INC0000513,48
INC0000516,47
INC0000517,45
INC0000519,45
INC0000520,42
INC0000521,43
INC0000524,46
INC0000525,42
INC0000526,44
INC0000527,47
INC0000528,49
INC0000530,47
INC0000532,45
INC0000534,45
INC0000535,41
INC0000536,43
INC0000537,43
INC0000538,48
INC0000539,46
INC0000540,49
INC0000541,48
INC0000543,43
INC0000544,50
INC0000545,49
INC0000547,44
INC0000548,46
INC0000549,42
INC0000550,47
INC0000552,48
INC0000553,49
INC0000554,43
INC0000557,41
INC0000558,48
INC0000558,45
INC0000559,49
INC0000561,50
INC0000564,43
INC0000565,45
INC0000566,41
INC0000568,49
INC0000569,46
INC0000570,41
INC0000571,47
INC0000572,44
INC0000574,44
INC0000576,48
INC0000577,48
INC0000579,47
INC0000582,46
INC0000583,47
INC0000587,48
INC0000588,48
INC0000590,50
INC0000591,43
INC0000592,48
INC0000594,43
INC0000595,46
INC0000595,50
INC0000596,41
INC0000597,48
INC0000598,45
INC0000599,41
INC0000600,49
INC0000602,41
INC0000603,46
INC0000604,43
INC0000605,45
INC0000605,46
INC0000606,43
INC0000607,41
INC0000609,50
INC0000609,41
INC0000610,50
INC0000611,43
INC0000612,41
INC0000613,42
INC0000614,45
INC0000615,45
INC0000617,41
INC0000618,42
INC0000619,49
INC0000620,41
INC0000621,50
INC0000622,41
INC0000623,48
INC0000624,50
INC0000625,45
INC0000625,46
INC0000627,41
INC0000628,50
INC0000630,49
INC0000631,47
INC0000632,41
INC0000633,50
INC0000634,43
INC0000637,49
INC0000638,49
INC0000644,44
INC0000645,43
INC0000648,41
INC0000649,48
INC0000650,46
INC0000651,45
INC0000653,46
INC0000654,41
INC0000655,42
INC0000660,42
INC0000661,46
INC0000664,41
INC0000665,44
INC0000666,49
INC0000668,43
INC0000669,41
INC0000670,46
INC0000672,41
INC0000673,50
INC0000674,45
INC0000675,43
INC0000676,45
INC0000677,44
INC0000678,47
INC0000679,48
INC0000681,43
INC0000682,48
INC0000686,45
INC0000687,46
INC0000688,41
INC0000692,45
INC0000694,42
INC0000695,47
INC0000696,42
INC0000697,48
INC0000698,46
INC0000699,49
INC0000700,42
INC0000702,48
INC0000703,41
INC0000704,48
INC0000705,46
INC0000706,50
INC0000708,42
INC0000709,50
INC0000710,48
INC0000712,50
INC0000715,45
INC0000715,44
INC0000715,46
INC0000717,43
INC0000720,41
INC0000722,45
INC0000723,42
INC0000727,47
INC0000728,50
INC0000729,42
INC0000730,42
INC0000733,46
INC0000734,49
INC0000735,49
INC0000738,49
INC0000740,46
INC0000741,45
INC0000742,45
INC0000743,47
INC0000745,43
INC0000746,45
INC0000747,49
INC0000748,49
INC0000749,43
INC0000750,43
INC0000751,42
INC0000752,41
INC0000753,42
INC0000754,49
INC0000757,42
INC0000759,43
INC0000760,49
INC0000761,41
INC0000763,41
INC0000764,45
INC0000765,50
INC0000767,50
INC0000768,44
INC0000769,48
INC0000771,48
INC0000772,49
INC0000773,47
INC0000774,50
INC0000775,50
INC0000777,45
INC0000778,45
INC0000780,48
INC0000782,50
INC0000782,42
INC0000782,46
INC0000783,49
INC0000784,42
INC0000785,47
INC0000786,47
INC0000790,45
INC0000791,41
INC0000792,46
INC0000794,43
INC0000795,44
INC0000797,42
INC0000798,48
INC0000801,42
INC0000802,48
INC0000804,48
INC0000807,47
INC0000809,46
INC0000810,47
INC0000811,45
INC0000812,50
INC0000814,41
INC0000817,49
INC0000818,49
INC0000820,45
INC0000821,49
INC0000822,47
INC0000823,50
INC0000823,43
INC0000824,45
INC0000825,47
INC0000826,46
INC0000827,48
INC0000828,46
INC0000828,47
INC0000828,45
INC0000829,50
INC0000830,46
INC0000831,47
INC0000832,47
INC0000833,44
INC0000834,41
INC0000835,50
INC0000837,45
INC0000838,50
INC0000839,46
INC0000840,46
INC0000841,48
INC0000842,49
INC0000845,44
INC0000846,42
INC0000847,49
INC0000849,49
INC0000850,42
INC0000852,43
INC0000854,43
INC0000856,49
INC0000857,48
INC0000859,49
INC0000860,48
INC0000863,45
INC0000864,41
INC0000867,49
INC0000868,45
INC0000872,46
INC0000873,50
INC0000875,50
INC0000877,48
INC0000879,49
INC0000880,45
INC0000885,44
INC0000885,48
INC0000886,42
INC0000887,46
INC0000888,46
INC0000890,48
INC0000892,45
INC0000894,46
INC0000895,41
INC0000896,43
INC0000897,50
INC0000899,48
INC0000900,50
INC0000901,50
INC0000903,42
INC0000905,43
INC0000906,41
INC0000907,48
INC0000908,44
INC0000910,50
INC0000911,42
INC0000912,43
INC0000913,45
INC0000914,45
INC0000915,49
INC0000916,49
INC0000917,49
INC0000918,42
INC0000919,43
INC0000920,41
INC0000921,49
INC0000923,46
INC0000924,45
INC0000925,49
INC0000926,50
INC0000927,41
INC0000928,46
INC0000930,43
INC0000937,48
INC0000938,45
INC0000939,41
INC0000941,50
INC0000945,43
INC0000946,49
INC0000947,44
INC0000948,50
INC0000952,47
INC0000953,43
INC0000954,47
INC0000956,41
INC0000959,47
INC0000961,41
INC0000962,50
INC0000967,49
INC0000969,48
INC0000973,42
INC0000974,47
INC0000975,47
INC0000977,41
INC0000978,45
INC0000979,50
INC0000980,46
INC0000981,50
INC0000982,48
INC0000983,49
INC0000984,45
INC0000985,48
INC0000987,50
INC0000988,44
INC0000989,42
INC0000990,45
INC0000991,48
INC0000992,44
INC0000993,47
INC0000994,50
INC0000995,49
INC0000996,43
INC0000997,49
INC0000998,46
INC0000999,45
INC0001001,46
INC0001002,50
INC0001003,49
INC0001004,43
INC0001005,43
INC0001006,44
INC0001007,48
INC0001008,47
INC0001009,44
INC0001010,48
INC0001011,42
INC0001012,41
INC0001014,43
INC0001015,49
INC0001016,50
INC0001017,41
INC0001018,43
INC0001020,43
INC0001021,48
INC0001022,48
INC0001023,43
INC0001025,48
INC0001026,50
INC0001028,50
INC0001029,48
INC0001030,49
INC0001031,46
INC0001033,47
INC0001034,47
INC0001036,41
INC0001037,42
INC0001038,41
INC0001040,45
INC0001041,42
INC0001041,46
INC0001042,43
INC0001043,50
INC0001044,42
INC0001045,44
INC0001046,44
INC0001047,43
INC0001049,48
INC0001051,48
INC0001053,43
INC0001054,48
INC0001055,49
INC0001057,50
INC0001058,46
INC0001061,47
INC0001062,46
INC0001063,50
INC0001064,45
INC0001065,41
INC0001066,49
INC0001067,44
INC0001068,49
INC0001068,43
INC0001069,45
INC0001074,49
INC0001075,49
INC0001077,46
INC0001078,49
INC0001079,48
INC0001080,42
INC0001082,45
INC0001083,48
